,ID,Comment
163,              Chelsea Shafa            ,I cant handle boki’s cuteness😍😍 you’re so cute🥰
164,              Ressa Jamelo Guadamor            ,Watching this at this very moment is torture 😂😍😋 12:56 AM Philippine time! 😩😁
165,              김도링            ,보키 1일1영상올려줘ㅠㅠㅠㅠ우리 복희 잘먹는거 세상사람들알아줬으면🙏🏻🙏🏻❤️❤️❤️
166,              joyciee            ,Yeyy
167,              Shhe Hd            ,Boki is super cute =))
168,              수수수옥            ,복히 사랑해
169,              ᄒᄋᄅ            ,7:23 아니 언니...이제부터 본격적이면 대체 얼마나 먹을수있다는건데😢
170,              잼잼            ,메뉴선정 미쳐따 증말 ㅠㅠ 튀김 바삭바삭소리..❤️
171,              fouroverfour            ,"When you wear your ""crunchy food sweater"" I know it's gonna be good.6:14 for the best crunch!"
172,              Jane Uyesato            ,I love the crispy sounds you make when you eat those delicious looking foods! Yummy!
173,              Hayley B            ,"Love seeing all this yum sounding food that I had no idea even existed in your videos. Also, super crunchy :D"
174,              Buki Monster            ,The food you eat is absolutely delicious!!! Watching this makes me miss Korea sooooo much!!! 😭😭😭😭😭
175,              서영            ,이 언니 구독자 엄청 빨리 느네 ㅋㅋㅋㅋ 곧 600만..
176,              성이름            ,이 밤에.. 미쳤다…
177,              Nansbbgrand            ,"6:33 OOPS! 😬😅 😆😂🤣 Love you, Boki! You’re one in a million!😄👍♥️♥️"
178,              Farah N.S            ,I really want to try Korean fried foods😭 especially Kim Mari and Goguma Twigim😭Mandu looks really good too😻
179,              Semanur Erden            ,I love yolu❤️❤️❤️
180,              알람시계            ,바삭바삭 소리 무슨일이야.... 아니 그리고 텐동 저거 몇인분이에요...? 짱커....
181,              kid.344            ,6:32 definently the best part xD
182,              Eman Hassoun            ,We need some snacks ❤️
183,              中尾広子            ,いつも凄く美味しそうなお料理ですが、誰が作っているのですか？
184,              Althea Alba            ,Fan from Philippines 😄😄💖💖🖐️
185,              웅웅            ,튀김 사운드 미챠따....언니 너무 맛있어보여서 저죽어요ㅠㅠㅜㅜㅜㅜ플레이팅도 미챠따
186,              سمسم سمسم            ,اكيد العرب هنا وميتين جوعانين  العراقيين أخص 😂
187,              Taekookies            ,I really love the way you eat 😍
188,              Sudin Aryal            ,Yeeehahhh🤠😙🔥🎊
189,              BORA ASMR 보라            ,I love the crispy sound of the fried food!!!♡♡♡♡
190,              라라라라라라ᅡᄅ            ,튀김소리 개조아ㅠ 빠삭한거 가끔 드셔주세여
191,              8A_Refi            ,6:34 omg 😭🤣🤣❤️
192,              Aesthetic Cat            ,Lots of love Boki and take care of your health. ❤😊
193,              Himanshu Arya            ,Congratulations for completing 2 years 🎂🌸💞
194,              JGEM ASMR            ,Food is ten times better when Boki is eating it.
195,              Seonhui Han            ,복희 오늘도 100점 만점에 500점이야..
196,              Magara Rajan R.S            ,The way you handle the food and eat is really good my fav mukbanger Mrs Boki
197,              Shafrina Azzahra            ,Love from indonesia 😍🇮🇩🇮🇩
198,              三ツ石麻衣            ,一口が大きいところやっぱ好き😊天ぷらのサクサクの音が最高です😌💓
199,              ᄏᄏᄏ            ,하 조합 미쳤다 김치우동 진짜 먹고시픔ㅜ
200,              SOOLJI술지            ,와 오늘 와 미쳣다 와
201,              ayebee            ,SARANGHAEYO💜💜💜
202,              Kamai Juhanah            ,0:52 start eating ^_^
203,              Tannie            ,"i love you unnie, stay safe and stay healthy!💜🇵🇭"
204,              귤탱구리            ,아 소리 장난아니다 ㅜㅜㅜ
205,              J H            ,진짜 역대급 사운드 ㅜㅜㅜㅜㅜ
206,              Denver Estrada            ,Love From🇵🇭🇵🇭🇵🇭🇵🇭🥰🥰🥰🥰🥰
207,              Jenifer Handog            ,It looks delicious I wanna try it so bad😭
208,              森嶋帆高            ,そんなに大きな天丼もそんなに赤いうどんも初めて見ました！！どんどんなくなっていくのが気持ちいい
209,              만두볶음            ,와 텐동에 우동 조합은 못참지..
210,              SJ K            ,메뉴선정 오졌다리
